User,pairs_json
1267,"[[1577866920000,5.03],[1577867640000,100.0],[1577867880000,5.54],[1577877000000,14.49],[1577881200000,10.88],[1577896320000,44.34],[1577954160000,7.06],[1577955840000,160.0],[1577969880000,11.34],[1577975760000,201.6],[1577999040000,43.38],[1578034260000,287.01],[1578041820000,5.65],[1578056100000,16.0],[1578057300000,132.57],[1578119460000,231.3],[1578122340000,159.51],[1578136680000,12.31],[1578167040000,62.39],[1578205380000,200.66],[1578231660000,8.73],[1578296820000,274.37],[1578298680000,5.29],[1578307200000,279.79],[1578315240000,15.92],[1578388500000,160.0],[1578406920000,119.91],[1578417660000,55.31],[1578462660000,7.5],[1578486600000,12.11],[1578520260000,35.88],[1578561900000,140.0],[1578567120000,9.37],[1578573960000,15.05],[1578597300000,60.82],[1578637800000,296.28],[1578640740000,170.3],[1578646560000,4.76],[1578646920000,60.0],[1578661200000,141.44],[1578689340000,43.23],[1578690360000,37.14],[1578723420000,151.72],[1578725100000,254.88],[1578729420000,4.35],[1578732060000,4.78],[1578749040000,159.01],[1578777600000,35.99],[1578820920000,120.0],[1578835140000,113.16],[1578849420000,68.49],[1578855360000,89.87],[1578923100000,37.12],[1578987900000,49.47],[1578991920000,4.7],[1579008480000,169.43],[1579010100000,50.13],[1579021560000,48.52],[1579120560000,38.07],[1579178220000,13.81],[1579247820000,4.89],[1579337160000,5.51],[1579337520000,5.63],[1579338240000,3.83],[1579339740000,120.0],[1579351320000,15.7],[1579416600000,173.02],[1579422600000,6.03],[1579424820000,100.0],[1579441380000,140.98],[1579443840000,195.54],[1579510320000,2.58],[1579525380000,127.66],[1579540320000,28.04],[1579596780000,4.62],[1579648500000,33.46],[1579676880000,152.51],[1579684260000,160.0],[1579699920000,11.71],[1579728540000,39.53],[1579769640000,4.59],[1579783620000,12.33],[1579856100000,5.2],[1579869120000,12.8],[1579893180000,61.4],[1579942620000,6.02],[1579950480000,44.53],[1579955940000,12.37],[1580028780000,5.06],[1580106840000,28.929999999998472]]"
1652,"[[1577857020000,3.39],[1577871060000,58.04],[1577871900000,65.0],[1577873460000,25.91],[1577888280000,40.26],[1577890860000,100.0],[1577923140000,36.05],[1577974440000,41.41],[1577977980000,76.84],[1577978820000,60.0],[1577983380000,62.71],[1578009240000,32.75],[1578047100000,36.38],[1578060900000,33.84],[1578062940000,80.0],[1578064860000,60.0],[1578080880000,16.56],[1578094920000,31.89],[1578117780000,3.81],[1578120360000,1.86],[1578131280000,37.89],[1578132960000,5.77],[1578133560000,28.42],[1578136020000,3.66],[1578150240000,60.0],[1578157380000,8.74],[1578182220000,35.53],[1578218940000,28.89],[1578233940000,27.21],[1578234180000,32.19],[1578268320000,25.27],[1578280920000,52.15],[1578305700000,33.12],[1578315360000,21.09],[1578323340000,100.0],[1578354780000,32.24],[1578391800000,24.08],[1578392160000,7.31],[1578405840000,35.77],[1578414300000,40.0],[1578416100000,75.06],[1578441060000,44.24],[1578464100000,3.03],[1578478380000,28.39],[1578497220000,80.0],[1578498300000,4.69],[1578499380000,8.08],[1578503640000,4.9],[1578564960000,30.27],[1578579060000,28.1],[1578583260000,40.0],[1578598380000,5.67],[1578600240000,12.66],[1578613980000,34.78],[1578635460000,3.4],[1578651900000,32.26],[1578665880000,30.74],[1578699240000,30.73],[1578723960000,2.26],[1578738000000,32.63],[1578738720000,21.06],[1578741900000,62.57],[1578752040000,22.15],[1578755340000,60.0],[1578763500000,61.21],[1578772620000,15.2],[1578785580000,30.65],[1578823260000,3.6],[1578824040000,31.22],[1578827520000,6.99],[1578838620000,37.52],[1578841860000,60.0],[1578872280000,31.45],[1578895260000,3.3],[1578906240000,57.0],[1578906360000,47.52],[1578910740000,119.71],[1578910800000,28.52],[1578913620000,26.87],[1578921660000,23.75],[1578925740000,27.9],[1578928620000,80.0],[1578958800000,29.26],[1578982380000,2.77],[1578996780000,27.55],[1579000980000,6.7],[1579011060000,24.62],[1579015140000,60.0],[1579046040000,19.6],[1579085820000,32.51],[1579097460000,26.99],[1579100520000,40.0],[1579163880000,66.0],[1579164300000,62.53],[1579172820000,7.72],[1579187760000,89.09],[1579193820000,21.93],[1579218240000,35.66],[1579239720000,3.79],[1579240860000,3.57],[1579255380000,26.32],[1579259460000,6.48],[1579260900000,6.89],[1579270380000,33.95],[1579273440000,40.0],[1579289760000,11.5],[1579304580000,36.1],[1579328820000,4.22],[1579343160000,19.68],[1579345740000,6.49],[1579353600000,22.6],[1579357140000,31.99],[1579391700000,22.15],[1579402620000,60.67],[1579413780000,2.37],[1579429200000,37.71],[1579443900000,15.8],[1579447080000,80.0],[1579477500000,26.2],[1579514520000,29.58],[1579523580000,3.48],[1579530540000,31.86],[1579536780000,52.66],[1579563060000,31.3],[1579601100000,30.24],[1579615440000,28.87],[1579619100000,80.0],[1579620420000,32.24],[1579636620000,11.4],[1579650720000,27.98],[1579673880000,1.28],[1579688400000,32.19],[1579690980000,9.84],[1579705440000,80.0],[1579737240000,32.79],[1579774680000,26.07],[1579778640000,6.34],[1579788960000,29.07],[1579791180000,23.31],[1579791840000,80.36],[1579800300000,9.03],[1579823820000,31.77],[1579836540000,47.93],[1579845900000,3.35],[1579860180000,22.88],[1579874520000,28.63],[1579909200000,19.39],[1579933440000,4.07],[1579946400000,17.0],[1579950540000,7.28],[1579959060000,19.22],[1579964940000,60.0],[1579968360000,7.83],[1579994880000,31.66],[1579995060000,18.55],[1580008800000,52.16],[1580018820000,3.87],[1580033820000,30.29],[1580034960000,26.36],[1580036640000,7.29],[1580048940000,17.47],[1580051580000,80.0],[1580082060000,29.89],[1580105940000,4.69],[1580120100000,28.67],[1580123700000,7.33],[1580135160000,31.9],[1580137740000,80.0],[1580137980000,66.87],[1580169120000,29.92],[1580181300000,36.87],[1580192040000,3.05],[1580206020000,30.12],[1580210880000,7.79],[1580221080000,21.39],[1580222400000,80.0],[1580252760000,22.7],[1580254320000,29.43],[1580293320000,24.63],[1580296080000,6.5],[1580310420000,60.0],[1580379180000,26.93],[1580383920000,49.28],[1580387940000,9.08],[1580394240000,35.08],[1580397120000,30.65],[1580397960000,45.55],[1580427060000,34.72],[1580466240000,30.74],[1580469480000,7.5],[1580479320000,34.56],[1580483700000,40.0],[1580486340000,60.0],[1580513640000,22.74],[1580551320000,29.14],[1580553060000,37.1],[1580554800000,8.88],[1580564280000,27.85],[1580565780000,30.03],[1580569620000,60.0],[1580576700000,12.49],[1580600640000,29.47],[1580637900000,40.03],[1580642880000,5.99],[1580643540000,9.14],[1580652480000,28.48],[1580656860000,80.0],[1580686860000,0.6400000000021464]]"
646,"[[1577962920000,24.87],[1577966040000,53.37],[1577981160000,31.8],[1578057600000,162.71],[1578067800000,23.15],[1578139140000,32.79],[1578225780000,37.07],[1578237420000,62.55],[1578310260000,75.23],[1578316140000,31.28],[1578413820000,26.16],[1578468480000,39.32],[1578490140000,164.01],[1578497280000,234.58],[1578662940000,158.69],[1578687060000,75.59],[1578687960000,50.0],[1578752220000,102.17],[1578781320000,34.0],[1578845460000,132.65],[1578845820000,26.83],[1578859560000,71.0],[1578860760000,54.88],[1578898620000,100.0],[1578909120000,8.86],[1578945780000,52.68],[1578946860000,57.0],[1579019040000,32.39],[1579119060000,51.0],[1579120020000,36.89],[1579190580000,1778.84],[1579253820000,9.1],[1579263060000,20.66],[1579462020000,1150.82],[1579468500000,56.33],[1579608360000,20.7],[1579615200000,157.31],[1579773360000,9.11],[1579796040000,1154.77],[1579866660000,58.34],[1579898460000,60.0],[1579898640000,53.0],[1579949340000,5.58],[1580115900000,6.27],[1580287200000,17.8799999999992]]"
490,"[[1577873040000,9.97],[1577882760000,10.9],[1577886300000,64.86],[1577945280000,22.89],[1577954400000,14.4],[1577973540000,130.17],[1577979360000,37.51],[1578003720000,47.46],[1578040440000,14.61],[1578048480000,13.24],[1578048840000,44.09],[1578052380000,61.23],[1578057660000,168.55],[1578058560000,118.77],[1578060660000,92.7],[1578082740000,0.55],[1578127980000,12.14],[1578135420000,44.72],[1578144660000,100.82],[1578214140000,18.85],[1578231720000,133.75],[1578244140000,38.67],[1578265860000,121.0],[1578267120000,135.0],[1578317520000,92.37],[1578330540000,36.0],[1578337500000,74.94],[1578380640000,44.4],[1578381180000,79.0],[1578386820000,12.6],[1578396960000,11.4],[1578403980000,124.83],[1578427200000,64.08],[1578479640000,11.4],[1578491340000,137.22],[1578508980000,11.34],[1578565800000,15.28],[1578575220000,73.7],[1578652200000,63.52],[1578653880000,13.46],[1578732240000,13.95],[1578739800000,15.08],[1578751080000,140.7],[1578769380000,66.65],[1578817860000,20.22],[1578825540000,10.2],[1578912420000,15.41],[1578964680000,36.58],[1578992040000,17.31],[1578999240000,12.6],[1579085580000,14.81],[1579091760000,6.4],[1579096620000,127.48],[1579110480000,0.97],[1579115820000,64.23],[1579176120000,20.0],[1579181760000,128.23],[1579191660000,39.56],[1579213920000,200.81],[1579216500000,231.87],[1579242900000,70.0],[1579243140000,70.0],[1579243860000,43.22],[1579249860000,13.81],[1579255740000,91.69],[1579265460000,123.02],[1579269060000,116.94],[1579349820000,20.0],[1579423080000,18.99],[1579430340000,49.63],[1579431540000,16.14],[1579442280000,87.05],[1579469520000,39.39],[1579505880000,98.0],[1579506540000,40.67],[1579510200000,13.69],[1579521360000,11.28],[1579527120000,130.38],[1579614180000,106.92],[1579693260000,60.87],[1579695900000,45.06],[1579701300000,105.66],[1579789800000,112.71],[1579806360000,52.57],[1579865700000,61.98],[1579871880000,89.69],[1579873800000,132.69],[1579941600000,15.99],[1579954200000,52.49],[1579960740000,106.11],[1580023020000,80.0],[1580023680000,61.87],[1580028000000,15.84],[1580030340000,15.19],[1580046240000,86.48],[1580058840000,42.42],[1580117940000,31.25],[1580127960000,50.79],[1580135280000,120.93],[1580191260000,54.55],[1580191860000,91.0],[1580194800000,11.44],[1580212440000,10.6],[1580219040000,69.7],[1580261640000,53.33],[1580306040000,132.46],[1580315760000,30.48],[1580319420000,1.25],[1580391420000,111.19],[1580472480000,20.0],[1580478300000,9.370000000004438]]"
921,"[[1577879580000,11.59],[1577885040000,70.04],[1577885460000,39.99],[1577953800000,15.49],[1577958900000,8.19],[1577967840000,11.08],[1577973360000,58.26],[1577975400000,56.14],[1577992920000,40.0],[1578011880000,3.54],[1578026460000,18.01],[1578033240000,90.0],[1578033780000,72.13],[1578040920000,9.77],[1578053820000,10.47],[1578056640000,20.59],[1578058200000,69.23],[1578067080000,87.82],[1578078120000,40.0],[1578080280000,60.0],[1578126660000,16.53],[1578145920000,58.26],[1578165240000,40.0],[1578175500000,132.63],[1578213300000,18.23],[1578232020000,59.6],[1578252060000,60.0],[1578253800000,60.0],[1578300900000,17.27],[1578318720000,68.12],[1578337920000,40.0],[1578386280000,18.42],[1578399420000,12.1],[1578400800000,8.94],[1578423780000,60.0],[1578472560000,18.4],[1578485100000,11.15],[1578491160000,60.66],[1578497760000,123.66],[1578510720000,40.0],[1578559440000,15.95],[1578577800000,64.85],[1578594900000,60.0],[1578598140000,40.0],[1578645660000,18.99],[1578659280000,9.24],[1578663060000,57.96],[1578683700000,40.0],[1578734340000,14.2],[1578735480000,16.33],[1578737760000,41.07],[1578744840000,10.25],[1578750900000,71.97],[1578770460000,60.0],[1578837120000,54.63],[1578846180000,101.34],[1578905760000,21.7],[1578918540000,13.14],[1578923160000,64.73],[1578942900000,60.0],[1578991620000,15.91],[1579008420000,10.36],[1579028820000,60.0],[1579095960000,60.9],[1579096440000,22.48],[1579115760000,60.0],[1579164720000,14.08],[1579176180000,10.81],[1579177980000,56.62],[1579181760000,71.77],[1579235640000,19.4],[1579243200000,65.0],[1579243320000,47.1],[1579262580000,14.97],[1579264440000,9.43],[1579274100000,108.22],[1579287720000,40.0],[1579336560000,20.21],[1579349880000,14.46],[1579355940000,56.72],[1579358520000,168.02],[1579371600000,187.0],[1579374600000,40.0],[1579385220000,223.0],[1579387260000,911.19],[1579435320000,11.58],[1579506240000,36.97],[1579548240000,40.0],[1579581300000,18.67],[1579608840000,9.78],[1579634640000,60.0],[1579678200000,26.06],[1579700160000,29.03],[1579702560000,58.0],[1579778340000,11.62],[1579781520000,11.61],[1579806180000,40.0],[1579867200000,10.55],[1579874280000,45.37],[1579893600000,16.85],[1579894140000,60.0],[1579967040000,85.13],[1580018460000,56.0],[1580019960000,65.03],[1580040540000,11.33],[1580046720000,63.14],[1580066340000,40.0],[1580127360000,10.9],[1580151900000,60.0],[1580201280000,19.63],[1580218980000,60.6],[1580239440000,60.0],[1580284440000,60.31],[1580298240000,7.43],[1580300700000,11.83],[1580304000000,7.5],[1580324760000,60.0],[1580385360000,9.56],[1580386620000,13.24],[1580412420000,60.0],[1580461560000,193.29],[1580472180000,13.43],[1580477940000,54.98],[1580481540000,153.75],[1580559600000,7.96],[1580565360000,54.91],[1580583900000,15.8799999999992]]"
583,"[[1577869680000,80.0],[1577924220000,79.99],[1577970240000,59.02],[1578010140000,127.91],[1578045060000,100.0],[1578070200000,4.64],[1578093600000,34.85],[1578097260000,92.99],[1578098220000,110.1],[1578136500000,39.88],[1578182400000,96.32],[1578226740000,5.87],[1578268800000,119.33],[1578335880000,59.54],[1578356880000,93.23],[1578441840000,56.27],[1578528900000,116.89],[1578615720000,124.57],[1578659340000,54.88],[1578660780000,25.86],[1578664800000,1.11],[1578668100000,1.27],[1578702480000,119.95],[1578788940000,96.73],[1578856020000,74.56],[1578857220000,92.0],[1578875280000,110.59],[1578897480000,107.85],[1578900900000,612.35],[1578906480000,50.58],[1578960960000,123.63],[1579048020000,96.84],[1579093740000,48.25],[1579134000000,65.91],[1579187400000,466.0],[1579233060000,34.91],[1579306140000,114.43],[1579391460000,199.89],[1579392960000,103.53],[1579405860000,39.22],[1579437180000,52.91],[1579475040000,30.0],[1579479720000,101.62],[1579509840000,80.0],[1579565880000,102.87],[1579606860000,0.27],[1579626300000,3.37],[1579651620000,98.5],[1579693200000,9.84],[1579721220000,93.0],[1579721280000,70.88],[1579721640000,58.38],[1579723080000,69.0],[1579770720000,66.98],[1579782060000,43.87],[1579785120000,56.86],[1579824540000,85.73],[1579834200000,450.0],[1579911480000,106.2],[1579958940000,54.96],[1580008020000,81.92],[1580028960000,80.0],[1580073900000,206.11],[1580084940000,93.86],[1580130120000,60.27],[1580171100000,53.97],[1580180580000,44.32],[1580183940000,40.82],[1580239020000,60.69],[1580239320000,65.0],[1580257500000,138.29000000000178]]"
287,"[[1577845860000,91.57],[1577853120000,51.79],[1577870820000,6.25],[1577873520000,35.29],[1577932380000,114.38],[1577957100000,6.58],[1577980380000,73.83],[1577998080000,30.39],[1578018600000,113.21],[1578046860000,40.17],[1578084120000,47.9],[1578128940000,9.31],[1578133440000,29.66],[1578137760000,4.89],[1578164280000,72.12],[1578219900000,30.97],[1578228480000,6.77],[1578279120000,120.08],[1578304860000,34.22],[1578338400000,169.36],[1578346320000,54.6],[1578364920000,75.05],[1578392100000,31.47],[1578397980000,145.58],[1578450660000,68.46],[1578468780000,73.0],[1578469980000,99.34],[1578474180000,7.74],[1578476580000,238.0],[1578478260000,28.58],[1578481260000,26.61],[1578482160000,5.57],[1578561180000,6.19],[1578564840000,27.4],[1578565140000,373.68],[1578647700000,5.68],[1578650580000,29.13],[1578676620000,23.14],[1578677460000,28.03],[1578711420000,55.79],[1578733740000,7.9],[1578737880000,29.61],[1578774840000,59.55],[1578797340000,92.63],[1578882300000,107.84],[1578883680000,52.94],[1578904740000,6.69],[1578909780000,36.26],[1578911280000,6.07],[1578912180000,30.84],[1578919920000,4.68],[1578969780000,94.15],[1578993600000,5.16],[1578994620000,29.78],[1578997020000,34.11],[1579012680000,149.9],[1579043580000,40.62],[1579052400000,70.11],[1579056900000,87.69],[1579058100000,110.15],[1579064100000,53.14],[1579134120000,32.04],[1579141980000,55.67],[1579176960000,164.23],[1579200420000,66.25],[1579229760000,97.1],[1579252740000,17.42],[1579253100000,6.01],[1579255320000,29.2],[1579261500000,8.59],[1579267740000,9.28],[1579293120000,54.01],[1579332000000,22.59],[1579338300000,6.82],[1579341780000,28.15],[1579388940000,25.87],[1579425660000,5.64],[1579428660000,18.75],[1579431540000,36.22],[1579602540000,38.44],[1579651260000,23.86],[1579660320000,92.51],[1579687320000,34.46],[1579694940000,74.46],[1579725000000,55.83],[1579774140000,34.27],[1579833120000,82.49],[1579861260000,9.84],[1579862280000,32.86],[1579927500000,39.28],[1579944240000,6.02],[1579947360000,38.56],[1579985340000,55.36],[1580005860000,73.83],[1580030100000,7.86],[1580032620000,36.79],[1580034120000,25.85],[1580056740000,63.05],[1580095980000,69.1],[1580107680000,16.78],[1580112840000,5.01],[1580115780000,7.44],[1580116980000,43.15],[1580120520000,28.95],[1580205780000,34.7],[1580265720000,68.96],[1580351460000,57.17],[1580376120000,7.05],[1580438340000,91.92],[1580440440000,102.33],[1580464860000,30.66],[1580468040000,38.54],[1580552940000,34.08],[1580635740000,6.1],[1580646300000,111.68],[1580647140000,7.41],[1580676600000,81.18],[1580721540000,6.19],[1580725680000,37.96],[1580728620000,4.87],[1580738760000,158.69],[1580762160000,56.89],[1580787660000,106.53],[1580810640000,39.24],[1580817120000,186.75],[1580824920000,51.839999999999236]]"
805,"[[1577860860000,73.0],[1577861640000,68.85],[1577861700000,3.5],[1577863980000,77.0],[1577865000000,3.58],[1577865180000,53.27],[1577950440000,51.0],[1577951520000,60.7],[1577953860000,49.19],[1577954880000,94.0],[1577982660000,15.03],[1578001260000,40.0],[1578034980000,56.67],[1578036360000,90.0],[1578036600000,91.0],[1578037140000,51.02],[1578086460000,80.0],[1578123780000,4.47],[1578124080000,69.0],[1578124200000,54.71],[1578210600000,2.67],[1578296940000,70.09],[1578297000000,51.0],[1578380220000,70.0],[1578380280000,61.83],[1578415740000,18.62],[1578465360000,74.26],[1578469560000,85.0],[1578469620000,47.43],[1578532500000,57.62],[1578555180000,57.6],[1578555480000,55.0],[1578557160000,78.38],[1578588660000,2.7],[1578641400000,3.6],[1578642000000,54.0],[1578642840000,62.66],[1578643620000,77.0],[1578644880000,51.25],[1578724440000,53.14],[1578727920000,1.52],[1578727920000,63.85],[1578729000000,83.0],[1578751740000,51.03],[1578760140000,67.59],[1578813240000,51.0],[1578813660000,34.43],[1578900960000,77.0],[1578901200000,50.21],[1578927660000,62.56],[1578930600000,19.06],[1578984360000,72.49],[1578987120000,85.0],[1578987900000,50.8],[1578988620000,3.45],[1578988740000,68.2],[1579074600000,58.88],[1579074900000,3.5],[1579075140000,52.0],[1579160760000,51.0],[1579161120000,55.11],[1579191480000,31.72],[1579219680000,33.26],[1579246080000,5.84],[1579309140000,38.2],[1579332960000,51.58],[1579333200000,50.0],[1579335480000,60.24],[1579335540000,52.0],[1579357020000,11.71],[1579419300000,50.23],[1579419420000,78.0],[1579419900000,3.55],[1579437120000,44.58],[1579506240000,96.0],[1579506360000,3.95],[1579507140000,36.04],[1579589700000,99.84],[1579589820000,58.92],[1579592160000,98.0],[1579592400000,3.81],[1579593180000,50.13],[1579698420000,41.49],[1579764960000,58.06],[1579766040000,57.0],[1579802880000,51.97],[1579847400000,75.5],[1579851060000,3.01],[1579851660000,60.0],[1579851720000,61.22],[1579854300000,3.14],[1579938180000,3.5],[1579970220000,1.6],[1580022000000,58.23],[1580023200000,97.0],[1580024040000,55.52],[1580024880000,72.0],[1580026380000,2.48],[1580057700000,17.93],[1580109660000,6.53],[1580110800000,3.68],[1580111100000,30.1],[1580111220000,55.0],[1580140980000,101.5],[1580196960000,52.0],[1580197860000,66.0],[1580197920000,2.51],[1580283720000,46.53],[1580283960000,77.0],[1580326500000,23.68],[1580337000000,40.0],[1580400120000,32.94],[1580410740000,41.24],[1580452560000,73.08],[1580455140000,92.0],[1580455500000,80.0],[1580455620000,93.77],[1580457000000,3.39],[1580457120000,80.0],[1580457480000,65.97],[1580473320000,66.1],[1580574300000,31.55],[1580585460000,18.7],[1580627760000,3.94],[1580629080000,39.41],[1580629200000,76.0],[1580631720000,4.16],[1580639460000,22.13],[1580715000000,3.63],[1580742180000,30.84],[1580746680000,81.3],[1580760780000,298.7799999999979]]"
324,"[[1577886240000,18.46],[1577886840000,6.71],[1577900160000,1.98],[1577971680000,17.36],[1577972640000,67.05],[1577974140000,7.76],[1577994300000,95.19],[1578002160000,141.45],[1578112920000,14.03],[1578145200000,48.97],[1578161400000,1.39],[1578168660000,94.11],[1578228360000,40.55],[1578230400000,17.2],[1578231180000,27.71],[1578235020000,39.22],[1578315780000,21.48],[1578318840000,42.52],[1578348840000,7.75],[1578404700000,92.02],[1578490140000,17.17],[1578498900000,148.56],[1578501180000,58.48],[1578576780000,20.52],[1578578280000,7.26],[1578580020000,41.1],[1578631260000,12.06],[1578661140000,25.33],[1578664320000,44.49],[1578664860000,120.0],[1578672720000,102.65],[1578685860000,144.63],[1578750240000,29.13],[1578752820000,44.16],[1578804600000,12.51],[1578835200000,15.44],[1578836040000,42.14],[1578840420000,39.45],[1578896220000,57.97],[1578922440000,60.87],[1578922860000,33.99],[1578933240000,77.96],[1578949320000,51.5],[1578951900000,60.13],[1579007640000,10.43],[1579025460000,1.12],[1579038900000,280.0],[1579093740000,23.88],[1579096020000,14.75],[1579177980000,12.15],[1579180200000,18.51],[1579184940000,140.0],[1579197780000,1.74],[1579266300000,16.64],[1579284060000,2.18],[1579352460000,20.76],[1579438980000,21.0],[1579517880000,204.04],[1579521660000,21.66],[1579526580000,12.45],[1579533480000,12.09],[1579544100000,1.6],[1579558020000,286.21],[1579612500000,26.75],[1579613820000,46.19],[1579700340000,35.25],[1579701540000,10.41],[1579706640000,12.04],[1579785900000,20.66],[1579787100000,23.92],[1579796880000,52.95],[1579876620000,265.65],[1579959360000,105.36],[1579959540000,32.65],[1579960200000,7.23],[1579969680000,36.64],[1580044140000,17.73],[1580045640000,8.7],[1580130900000,38.95],[1580290920000,274.71],[1580303160000,20.68],[1580304780000,36.63],[1580305500000,8.75],[1580307540000,18.36],[1580389800000,44.53],[1580390700000,19.81],[1580392620000,35.79],[1580397420000,11.34],[1580400360000,78.45],[1580423700000,10.36],[1580475660000,24.64],[1580477400000,25.2],[1580503200000,54.54],[1580569560000,20.92],[1580573220000,52.65],[1580644620000,35.65],[1580649300000,20.6],[1580650260000,40.08],[1580651760000,4.42],[1580666400000,1.76],[1580671800000,99.32],[1580737320000,31.56],[1580739060000,120.0],[1580800500000,303.21],[1580821200000,13.92],[1580823960000,243.0],[1580824260000,41.31],[1580834100000,229.0],[1580907300000,17.11],[1580908620000,17.03],[1580912280000,71.06],[1580992560000,34.33],[1580994180000,16.61],[1580996760000,140.0],[1580997180000,17.3],[1581002580000,296.58],[1581009540000,158.32000000000062]]"
1338,"[[1577859960000,34.24],[1577861520000,45.88],[1577867220000,3.72],[1577869800000,3.5],[1577874660000,12.03],[1577879100000,35.24],[1577880600000,47.52],[1577897160000,47.22],[1577898300000,33.41],[1577909940000,45.75],[1577915700000,100.0],[1577917560000,25.87],[1577945340000,40.86],[1577949600000,16.73],[1577961480000,13.98],[1577971080000,72.96],[1577984040000,38.26],[1578003240000,29.43],[1578031740000,29.16],[1578042180000,3.31],[1578048720000,16.52],[1578051840000,42.11],[1578069000000,36.49],[1578118080000,40.95],[1578134580000,22.12],[1578138120000,35.8],[1578156600000,36.14],[1578165600000,86.02],[1578203400000,120.69],[1578205680000,47.91],[1578225060000,39.55],[1578241920000,22.68],[1578251280000,102.63],[1578263340000,22.03],[1578292080000,38.5],[1578308280000,13.7],[1578309240000,14.3],[1578311220000,43.61],[1578323820000,176.58],[1578329940000,45.65],[1578377520000,20.44],[1578387660000,3.85],[1578394020000,15.34],[1578396840000,33.94],[1578401280000,33.6],[1578413220000,80.79],[1578416040000,12.35],[1578428880000,44.79],[1578464580000,34.16],[1578469800000,117.5],[1578489360000,110.76],[1578502620000,32.88],[1578520320000,30.36],[1578549840000,39.29],[1578569640000,40.66],[1578588660000,39.05],[1578606000000,140.0],[1578607920000,34.15],[1578611160000,31.99],[1578648300000,2.8],[1578653580000,13.24],[1578674460000,35.33],[1578720900000,123.27],[1578725940000,29.1],[1578733860000,4.09],[1578761220000,34.48],[1578808800000,34.02],[1578814860000,24.99],[1578820860000,3.49],[1578825960000,17.21],[1578828240000,57.58],[1578829380000,31.18],[1578847140000,37.38],[1578896340000,25.46],[1578902340000,115.18],[1578907260000,3.95],[1578912300000,14.15],[1578915360000,55.2],[1578916380000,11.85],[1578933060000,45.92],[1578983340000,41.68],[1578998220000,18.63],[1579019400000,42.89],[1579024980000,15.13],[1579068600000,36.38],[1579079940000,3.85],[1579088880000,31.24],[1579104300000,85.99],[1579106100000,25.53],[1579126800000,35.52],[1579128840000,23.24],[1579154580000,42.49],[1579166940000,2.73],[1579171020000,15.37],[1579175580000,36.14],[1579212060000,33.02],[1579239660000,44.85],[1579241100000,37.65],[1579252920000,3.05],[1579255140000,13.64],[1579257120000,14.69],[1579260360000,14.93],[1579260900000,13.26],[1579261680000,34.02],[1579262400000,20.44],[1579279260000,45.18],[1579301340000,30.62],[1579324920000,38.72],[1579325520000,137.15],[1579327200000,35.45],[1579338240000,3.8],[1579343460000,13.65],[1579365300000,32.0],[1579386300000,26.2],[1579413900000,46.18],[1579427040000,4.59],[1579434720000,24.61],[1579451700000,39.85],[1579501740000,51.18],[1579515240000,15.0],[1579517520000,12.4],[1579519080000,12.83],[1579519980000,35.83],[1579538340000,34.4],[1579586460000,30.83],[1579598580000,3.55],[1579600860000,10.39],[1579603020000,14.02],[1579606440000,45.49],[1579624380000,42.68],[1579644240000,28.41],[1579673760000,39.99],[1579685460000,31.81],[1579686300000,95.0],[1579690680000,18.57],[1579694340000,22.72],[1579709700000,86.62],[1579711560000,36.27],[1579718760000,80.93],[1579780080000,31.61],[1579797840000,35.7],[1579803900000,17.61],[1579818480000,27.37],[1579847100000,48.47],[1579857300000,3.54],[1579863360000,12.18],[1579866420000,36.49],[1579884900000,32.09],[1579887960000,56.0],[1579932060000,30.96],[1579943580000,3.77],[1579949760000,14.39],[1579952820000,40.08],[1579970460000,35.3],[1579975920000,16.17],[1580019300000,44.17],[1580030160000,3.34],[1580035320000,9.16],[1580039820000,39.13],[1580104980000,58.28],[1580108640000,33.23],[1580110020000,32.53],[1580121900000,20.38],[1580125860000,33.68],[1580144460000,45.88],[1580192880000,42.43],[1580202960000,4.76],[1580208000000,11.14],[1580211480000,39.35],[1580229660000,29.98],[1580231640000,45.01],[1580294160000,14.58],[1580298300000,35.57],[1580315760000,25.89],[1580335380000,27.2],[1580364780000,26.81],[1580384100000,38.89],[1580422800000,36.98],[1580451120000,34.65],[1580462640000,3.54],[1580467380000,17.46],[1580471700000,12.32],[1580489580000,33.87],[1580537760000,33.87],[1580548980000,4.13],[1580555880000,35.98],[1580556300000,17.77],[1580557560000,32.05],[1580572620000,24.390000000000327]]"
